,MovieRating,DirectorRating,MovieTitle,startYear,class,scaledVotes,decade,Directors
121,5.0,5.65,Murder on the Waterfront,1943,Movie Rating < Director Rating,1.0027709799999334,1940,B. Reeves Eason
122,7.2,7.0500000000000025,El barchante Neguib,1946,Movie Rating > Director Rating,1.001955985882306,1940,Joaquín Pardavé
123,6.1,6.1999999999999975,The Two Orphans,1947,Movie Rating < Director Rating,1.0064112870586697,1940,Mario Mattoli
124,6.7,5.95,Good-Time Girl,1948,Movie Rating > Director Rating,1.0172235423525275,1940,David MacDonald
125,8.1,8.149999999999999,Limelight,1952,Movie Rating < Director Rating,1.9761456211530333,1950,Charles Chaplin
126,6.2,6.35,The Belle of New York,1952,Movie Rating < Director Rating,1.0450963411753875,1950,Charles Walters
127,5.8,6.4,Back to God's Country,1953,Movie Rating < Director Rating,1.0095625976468292,1950,Joseph Pevney
128,6.7,6.65,When Worlds Collide,1951,Movie Rating > Director Rating,1.3878828670495107,1950,Rudolph Maté
129,5.0,5.633333333333333,Beneath the Palms on the Blue Sea,1957,Movie Rating < Director Rating,1.0015213223529047,1950,Hans Deppe
130,5.7,5.65,Francis in the Haunted House,1956,Movie Rating > Director Rating,1.0132029047055653,1950,Charles Lamont
131,6.1,6.2,Silver City,1951,Movie Rating < Director Rating,1.013420236470266,1950,Byron Haskin
132,6.9,6.174999999999999,Come Fill the Cup,1951,Movie Rating > Director Rating,1.0224395047053436,1950,Gordon Douglas
133,6.2,6.1,Beach of the Secrets,1958,Movie Rating > Director Rating,1.0017929870587805,1950,Atef Salem
134,8.2,7.8,Umberto D.,1952,Movie Rating > Director Rating,2.23199944114689,1950,Vittorio De Sica
135,7.9,6.65,The Searchers,1956,Movie Rating > Director Rating,5.3169695081316455,1950,John Ford
136,4.9,5.2,The Fighting Men,1950,Movie Rating < Director Rating,1.0011409917646783,1950,Camillo Mastrocinque
137,5.5,5.2,Attanasio cavallo vanesio,1953,Movie Rating > Director Rating,1.0003259976470509,1950,Camillo Mastrocinque
138,6.9,6.3000000000000025,The Eighth Day of the Week,1958,Movie Rating > Director Rating,1.0061939552939692,1950,Aleksander Ford
139,5.4,6.9,The Count of Saint Elmo,1951,Movie Rating < Director Rating,1.0005976623529271,1950,Guido Brignone
140,6.5,7.2,A Woman Without Love,1952,Movie Rating < Director Rating,1.0390110517637692,1950,Luis Buñuel
141,5.0,5.2,Babes in Bagdad,1952,Movie Rating < Director Rating,1.004292302352838,1950,Edgar G. Ulmer
142,6.8,6.75,Rocky Mountain,1950,Movie Rating > Director Rating,1.0492256447047004,1950,William Keighley
