,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,genres1
9647,tt0214150,movie,Some Fish Can Fly,Some Fish Can Fly,0,1999,95,"Comedy,Romance",5.0,9,Comedy
9650,tt0345185,movie,In the City,En la ciudad,0,2003,110,"Drama,Romance",6.8,1039,Drama
9655,tt1524134,movie,Orcs!,Orcs!,0,2011,78,"Action,Comedy,Fantasy",3.6,1420,Action
9657,tt2097245,movie,Boy s tenyu 3. Posledniy raund,Boy s tenyu 3. Posledniy raund,0,2011,125,"Action,Crime,Drama",5.8,644,Action
9666,tt0367677,movie,Dracula 3000,Dracula 3000,0,2004,86,"Horror,Sci-Fi",2.1,5953,Horror
9669,tt4236238,movie,Bagnini & Bagnanti,Bagnini & Bagnanti,0,2017,72,Documentary,7.3,7,Documentary
9671,tt0400514,movie,Honoo no mai,Honoo no mai,0,1978,96,"Drama,Romance",5.0,12,Drama
9681,tt1622996,movie,Kobe Kokusai Gang,Kobe Kokusai Gang,0,1975,98,"Action,Crime",6.2,33,Action
9682,tt0039342,movie,The Two Orphans,I due orfanelli,0,1947,90,Comedy,6.1,118,Comedy
9687,tt0041390,movie,Die Freunde meiner Frau,Die Freunde meiner Frau,0,1949,85,Comedy,7.3,21,Comedy
9695,tt0068194,movie,Judge Roy Bean,Le juge,0,1971,92,Western,4.7,24,Western
9697,tt6450610,movie,Genesis,Genesis,0,2016,72,"Horror,Sci-Fi",4.4,18,Horror
